Respondent,MainBranch,Hobbyist,Age,Age1stCode,CompFreq,CompTotal,ConvertedComp,Country,CurrencyDesc,CurrencySymbol,DatabaseDesireNextYear,DatabaseWorkedWith,DevType,EdLevel,Employment,Ethnicity,Gender,JobFactors,JobSat,JobSeek,LanguageDesireNextYear,LanguageWorkedWith,MiscTechDesireNextYear,MiscTechWorkedWith,NEWCollabToolsDesireNextYear,NEWCollabToolsWorkedWith,NEWDevOps,NEWDevOpsImpt,NEWEdImpt,NEWJobHunt,NEWJobHuntResearch,NEWLearn,NEWOffTopic,NEWOnboardGood,NEWOtherComms,NEWOvertime,NEWPurchaseResearch,NEWPurpleLink,NEWSOSites,NEWStuck,OpSys,OrgSize,PlatformDesireNextYear,PlatformWorkedWith,PurchaseWhat,Sexuality,SOAccount,SOComm,SOPartFreq,SOVisitFreq,SurveyEase,SurveyLength,Trans,UndergradMajor,WebframeDesireNextYear,WebframeWorkedWith,WelcomeChange,WorkWeekHrs,YearsCode,YearsCodePro
7093,I am a developer by profession,Yes,,,,,,Indonesia,Indonesian rupiah,IDR,,,,,Employed full-time,,,,,I am actively looking for a job,,,,,,,,,,,,,,,Yes,,,,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),,,,,,,,Yes,"Yes, definitely",Multiple times per day,Multiple times per day,,,,,,,,,,
7110,I am a developer by profession,Yes,22.0,17,Monthly,,,Indonesia,Indonesian rupiah,IDR,,,"Academic researcher;Engineer, data","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Southeast Asian,Man,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Opportunities for professional development",Very satisfied,"I’m not actively looking, but I am open to new opportunities",Rust;Scala;Swift,Bash/Shell/PowerShell;C;C++;Python,,Torch/PyTorch,,Github;Gitlab;Slack,Yes,Somewhat important,Somewhat important,Curious about other opportunities;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",,No,No,No,Often: 1-2 days per week or more,,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,Linux-based,100 to 499 employees,,Arduino;Linux,I have little or no influence,Straight / Heterosexual,Yes,Neutral,I have never participated in Q&A on Stack Overflow,Daily or almost daily,Neither easy nor difficult,Appropriate in length,No,"Another engineering discipline (such as civil, electrical, mechanical, etc.)",,,Just as welcome now as I felt last year,40.0,4,Less than 1 year
7218,"I am not primarily a developer, but I write code sometimes as part of my work",No,36.0,23,,,,Indonesia,Indonesian rupiah,IDR,MariaDB;MySQL;PostgreSQL,MariaDB;MySQL;PostgreSQL,System administrator,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Southeast Asian,Man,Flex time or a flexible schedule;Specific department or team I’d be working on;Office environment or company culture,Neither satisfied nor dissatisfied,"I’m not actively looking, but I am open to new opportunities",Bash/Shell/PowerShell;HTML/CSS;PHP;Python,Bash/Shell/PowerShell;HTML/CSS;PHP,Ansible;Chef,,"Confluence;Jira;Github;Gitlab;Google Suite (Docs, Meet, etc);Stack Overflow for Teams","Confluence;Jira;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",Not sure,Neutral,Fairly important,Wanting to share accomplishments with a wider network;Curious about other opportunities;Better compensation;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",,Not sure,Onboarding? What onboarding?,No,Occasionally: 1-2 days per quarter but less than monthly,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes),Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,Linux-based,"1,000 to 4,999 employees",Android;AWS;Docker;Google Cloud Platform;Linux;WordPress,Linux;WordPress,I have some influence,,Yes,Not sure,Less than once per month or monthly,A few times per week,Neither easy nor difficult,Too long,No,"A natural science (such as biology, chemistry, physics, etc.)",jQuery,,Somewhat more welcome now than last year,40.0,5,5
7250,I am a developer by profession,Yes,24.0,12,Yearly,100000000.0,7318.0,Indonesia,Indonesian rupiah,IDR,Elasticsearch;Firebase;MariaDB;MongoDB;Redis,DynamoDB;Firebase;MariaDB;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;SQLite,"Database administrator;Developer, back-end;Developer, front-end;Developer, full-stack;Developer, mobile;DevOps specialist;System administrator","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Southeast Asian,Man,"Languages, frameworks, and other technologies I’d be working with;How widely used or impactful my work output would be;Office environment or company culture",Neither satisfied nor dissatisfied,"I’m not actively looking, but I am open to new opportunities",Bash/Shell/PowerShell;Dart;Go;HTML/CSS;JavaScript;SQL,Bash/Shell/PowerShell;C++;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;R;SQL,Ansible;Flutter;Node.js;TensorFlow;Teraform,Ansible;Node.js,"Jira;Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)","Github;Gitlab;Slack;Trello;Google Suite (Docs, Meet, etc)",No,Extremely important,Somewhat important,Just because;Curious about other opportunities;Better compensation;Wanting to work with new technologies;Looking to relocate,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase);Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company",Once a year,No,No,No,Sometimes: 1-2 days per month but less than weekly,Start a free trial;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2Crowd,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Meditate;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,Linux-based,"1,000 to 4,999 employees",Android;AWS;Docker;Google Cloud Platform;iOS;Kubernetes;Linux;Microsoft Azure;Raspberry Pi,Android;Arduino;AWS;Docker;Google Cloud Platform;Heroku;iOS;Linux,I have some influence,Straight / Heterosexual,Yes,"Yes, somewhat",A few times per week,Multiple times per day,Easy,Too short,No,"Information systems, information technology, or system administration",Express;React.js,Express;jQuery;Laravel;Vue.js,Just as welcome now as I felt last year,40.0,12,3
7273,I am a student who is learning to code,Yes,16.0,Younger than 5 years,,,,Indonesia,,,Cassandra;Couchbase;DynamoDB;Elasticsearch;IBM DB2;Microsoft SQL Server;MongoDB;PostgreSQL;Redis,Firebase;MariaDB;MySQL;Oracle;SQLite,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Student,South Asian,Man,"Languages, frameworks, and other technologies I’d be working with;Remote work options;Opportunities for professional development",,I am actively looking for a job,Assembly;Bash/Shell/PowerShell;Dart;Go;Haskell;Kotlin;Objective-C;Perl;R;Ruby;Rust;Scala;Swift;TypeScript;VBA,C;C#;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL,.NET;.NET Core;Ansible;Apache Spark;Chef;Cordova;Hadoop;Keras;Pandas;Puppet;Teraform;Torch/PyTorch,Flutter;Node.js;React Native;TensorFlow;Unity 3D;Unreal Engine;Xamarin,Confluence;Jira;Slack,"Github;Gitlab;Facebook Workplace;Microsoft Teams;Microsoft Azure;Trello;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",,,,,,Every few months,Yes,,Yes,,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes),Visit Stack Overflow;Watch help / tutorial videos,MacOS,,AWS;Docker;Heroku;IBM Cloud or Watson;iOS;Kubernetes;Slack Apps and Integrations,Android;Arduino;Google Cloud Platform;Linux;MacOS;Microsoft Azure;Raspberry Pi;Windows;WordPress,,,Yes,"Yes, somewhat",Multiple times per day,Multiple times per day,Easy,Appropriate in length,No,,Angular;Angular.js;ASP.NET;ASP.NET Core;Django;Drupal;Express;Flask;Gatsby;Ruby on Rails;Spring;Vue.js,jQuery;Laravel;React.js;Symfony,A lot less welcome now than last year,,Less than 1 year,
7279,I am a developer by profession,Yes,22.0,15,Monthly,8500000.0,7464.0,Indonesia,Indonesian rupiah,IDR,MongoDB;MySQL;PostgreSQL,MongoDB;MySQL;PostgreSQL,"Developer, back-end;Developer, front-end;Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Southeast Asian,Man,How widely used or impactful my work output would be;Office environment or company culture;Opportunities for professional development,Very satisfied,I am not interested in new job opportunities,Go;HTML/CSS;Java;JavaScript;Python;R;TypeScript,Go;HTML/CSS;Java;JavaScript;PHP;Python;TypeScript,,,"Confluence;Jira;Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)","Confluence;Jira;Github;Gitlab;Slack;Google Suite (Docs, Meet, etc)",Yes,Extremely important,Somewhat important,Just because;Better compensation;Trouble with my teammates;Trouble with my direct manager;Trouble with leadership at my company;Better work/life balance;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Company reviews from third party sites (e.g. Glassdoor, Blind);Directly asking current or past employees at the company",Every few months,Not sure,Yes,No,Occasionally: 1-2 days per quarter but less than monthly,,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos,Windows,100 to 499 employees,Google Cloud Platform;Heroku;Linux;Windows,Google Cloud Platform;Heroku;Linux;Windows,I have little or no influence,,Yes,"No, not at all",I have never participated in Q&A on Stack Overflow,Multiple times per day,Neither easy nor difficult,Appropriate in length,No,"Computer science, computer engineering, or software engineering",Django;Flask;Laravel;React.js;Spring,Django;Flask;Laravel;React.js;Spring,Just as welcome now as I felt last year,40.0,6,1
7281,"I used to be a developer by profession, but no longer am",Yes,27.0,12,,,,Indonesia,,,Elasticsearch;Firebase;MariaDB;MongoDB;PostgreSQL;Redis;SQLite,MariaDB;MongoDB;PostgreSQL,"Developer, back-end;Educator;Scientist;System administrator","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Not employed, but looking for work",Southeast Asian,Man,,,,C#;HTML/CSS;Java;JavaScript;Kotlin;PHP;Ruby;Rust;SQL;TypeScript,C#;HTML/CSS;Java;JavaScript;PHP;SQL,.NET;.NET Core;Apache Spark;Cordova;Flutter;Hadoop;Unity 3D,.NET;.NET Core;Hadoop,"Confluence;Jira;Github;Trello;Google Suite (Docs, Meet, etc)","Confluence;Jira;Github;Trello;Google Suite (Docs, Meet, etc)",,,Fairly important,,,Once every few years,No,,No,,Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Play games;Call a coworker or friend;Visit Stack Overflow;Do other work and come back later,Windows,,AWS;Heroku;Kubernetes;Linux;Microsoft Azure;Windows,AWS;Linux;Windows,,Straight / Heterosexual,Yes,"Yes, definitely",A few times per month or weekly,Multiple times per day,Easy,Appropriate in length,No,"Computer science, computer engineering, or software engineering",ASP.NET;ASP.NET Core;jQuery;Laravel;Spring;Vue.js,ASP.NET;ASP.NET Core;jQuery;Laravel;Vue.js,Just as welcome now as I felt last year,,9,
7305,I am a developer by profession,Yes,27.0,15,Monthly,,,Indonesia,Indonesian rupiah,IDR,Cassandra;Elasticsearch;MariaDB;MongoDB;MySQL;PostgreSQL;Redis,Elasticsearch;MariaDB;MongoDB;MySQL;PostgreSQL;Redis,"Developer, back-end;Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Southeast Asian,Man,Financial performance or funding status of the company or organization;Office environment or company culture;Family friendliness,Very dissatisfied,"I’m not actively looking, but I am open to new opportunities",Go;JavaScript;Python;Rust;SQL;TypeScript,Go;HTML/CSS;Java;JavaScript;PHP;Python;SQL,Flutter;Node.js,Node.js,"Jira;Github;Gitlab;Trello;Google Suite (Docs, Meet, etc)","Jira;Github;Gitlab;Trello;Google Suite (Docs, Meet, etc)",Yes,Extremely important,Fairly important,Better compensation;Trouble with my teammates;Better work/life balance;Wanting to work with new technologies,"Company reviews from third party sites (e.g. Glassdoor, Blind)",Every few months,No,Yes,Yes,Sometimes: 1-2 days per month but less than weekly,,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Meditate;Visit Stack Overflow,MacOS,20 to 99 employees,Android;AWS;Docker;Google Cloud Platform;Heroku;Kubernetes;Linux,Android;AWS;Docker;Google Cloud Platform;Kubernetes;Linux;MacOS,I have little or no influence,Straight / Heterosexual,Yes,"Yes, somewhat",A few times per week,Daily or almost daily,Easy,Appropriate in length,No,"Information systems, information technology, or system administration",Django;Express;Flask,Django;Express;Flask,Just as welcome now as I felt last year,40.0,9,5
7308,I am a developer by profession,Yes,29.0,Younger than 5 years,Monthly,,,Indonesia,Indonesian rupiah,IDR,,MariaDB;Microsoft SQL Server;MySQL,"Academic researcher;Database administrator;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;System administrator","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,,Man,Industry that I’d be working in;Remote work options;Family friendliness,Slightly dissatisfied,I am actively looking for a job,,C#;HTML/CSS;JavaScript;PHP;SQL,.NET;Xamarin,.NET,,"Github;Google Suite (Docs, Meet, etc)",Yes,Neutral,Critically important,Just because;Looking to relocate,"Company reviews from third party sites (e.g. Glassdoor, Blind);Publicly available financial information (e.g. Crunchbase)",Once a year,Yes,Onboarding? What onboarding?,Yes,,Start a free trial;Ask developers I know/work with,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes),Visit Stack Overflow;Go for a walk or other physical activity,Windows,"Just me - I am a freelancer, sole proprietor, etc.",,Windows,,,Yes,Neutral,Daily or almost daily,Daily or almost daily,Easy,Appropriate in length,No,"Information systems, information technology, or system administration",ASP.NET;ASP.NET Core;Laravel,,A lot less welcome now than last year,45.0,Less than 1 year,Less than 1 year
7342,I am a student who is learning to code,Yes,19.0,16,,,,Indonesia,,,PostgreSQL,MySQL,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Student,Southeast Asian,Man,How widely used or impactful my work output would be,,I am actively looking for a job,R;Ruby;Rust;SQL,Go;HTML/CSS;Java;Python,Teraform;Torch/PyTorch,Pandas;TensorFlow,Trello,"Github;Slack;Google Suite (Docs, Meet, etc);Stack Overflow for Teams",,,,,,Every few months,No,,Yes,,Start a free trial;Visit developer communities like Stack Overflow,Indifferent,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Watch help / tutorial videos,Windows,,Docker;Linux;MacOS,Windows,,Straight / Heterosexual,Yes,Neutral,Less than once per month or monthly,Multiple times per day,Difficult,Too long,No,,Django,,A lot less welcome now than last year,,3,
7476,I am a student who is learning to code,Yes,21.0,19,,,,Indonesia,,,Firebase;Microsoft SQL Server;MySQL,Firebase;Microsoft SQL Server;MySQL;SQLite,,"Associate degree (A.A., A.S., etc.)",Student,Southeast Asian,Man,"Languages, frameworks, and other technologies I’d be working with;Office environment or company culture;Family friendliness",,"I’m not actively looking, but I am open to new opportunities",C;Java;Kotlin;SQL,C;C#;HTML/CSS;Java;JavaScript;PHP;SQL,Flutter;React Native,,Github;Gitlab;Microsoft Teams;Microsoft Azure;Stack Overflow for Teams,Github;Stack Overflow for Teams,,,,,,Once a year,,,Yes,,Start a free trial;Visit developer communities like Stack Overflow,Amused,Stack Overflow for Teams (private Q&A for organizations);Stack Overflow Talent (for hiring companies/recruiters),Play games;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos,Windows,,Android;Microsoft Azure;Windows,Android;Windows,,,,,,,Neither easy nor difficult,Appropriate in length,No,"Information systems, information technology, or system administration",React.js;Vue.js,jQuery,,,1,
7515,"I am not primarily a developer, but I write code sometimes as part of my work",No,,,,,,Indonesia,United Arab Emirates dirham,AED,,,,,Employed part-time,,,,,I am actively looking for a job,,,,,,,,,,Curious about other opportunities,,,,,Yes,,,,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow for Teams (private Q&A for organizations),,,,,,,,Yes,Neutral,I have never participated in Q&A on Stack Overflow,A few times per week,,,,,,,,,,
7532,I am a developer by profession,No,,26,,,,Indonesia,Indonesian rupiah,IDR,Elasticsearch;Firebase;PostgreSQL,MongoDB;PostgreSQL;Redis,"Developer, full-stack;Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,Southeast Asian,Man,"Languages, frameworks, and other technologies I’d be working with;Specific department or team I’d be working on;Remote work options",Neither satisfied nor dissatisfied,"I’m not actively looking, but I am open to new opportunities",,Go;HTML/CSS;JavaScript;Kotlin,Flutter;React Native;TensorFlow;Torch/PyTorch,,Github;Slack;Trello,Github;Slack;Trello,No,Neutral,Fairly important,Growth or leadership opportunities,"Company reviews from third party sites (e.g. Glassdoor, Blind);Personal network - friends or family",Once a year,Yes,No,Yes,Rarely: 1-2 days per year or less,Ask developers I know/work with;Visit developer communities like Stack Overflow,Indifferent,Stack Overflow (public Q&A for anyone who codes),Visit Stack Overflow;Watch help / tutorial videos;Do other work and come back later,Linux-based,100 to 499 employees,Android;Docker;Google Cloud Platform;Kubernetes;Linux,Android;AWS;Linux,I have some influence,Straight / Heterosexual,Yes,"No, not really",I have never participated in Q&A on Stack Overflow,A few times per week,Neither easy nor difficult,Appropriate in length,No,"Information systems, information technology, or system administration",Vue.js,React.js,Just as welcome now as I felt last year,40.0,9,6
7696,I am a developer by profession,Yes,54.0,30,Monthly,20000000.0,17568.0,Indonesia,Indonesian rupiah,IDR,Oracle,Oracle,"Database administrator;Developer, back-end;Engineer, data","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Independent contractor, freelancer, or self-employed",Southeast Asian,Man,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Family friendliness",Very satisfied,"I’m not actively looking, but I am open to new opportunities",SQL,Bash/Shell/PowerShell;JavaScript;Perl;PHP;SQL,,.NET,,Github,Yes,Extremely important,Very important,Wanting to share accomplishments with a wider network;Better work/life balance;Wanting to work with new technologies,Personal network - friends or family,Once every few years,,No,No,Sometimes: 1-2 days per month but less than weekly,Start a free trial;Visit developer communities like Stack Overflow,"Hello, old friend",Stack Exchange (public Q&A for a variety of topics),Visit Stack Overflow;Watch help / tutorial videos,Windows,20 to 99 employees,Android,Linux;Slack Apps and Integrations;Windows,,Straight / Heterosexual,,,,,Easy,Appropriate in length,No,"Another engineering discipline (such as civil, electrical, mechanical, etc.)",Laravel,,,,28,26
7747,I am a developer by profession,No,20.0,17,Monthly,,,Indonesia,Indonesian rupiah,IDR,MongoDB;Oracle;PostgreSQL,Firebase;MySQL,"Designer;Developer, front-end;Developer, mobile","Associate degree (A.A., A.S., etc.)",Employed full-time,Southeast Asian,Man,Flex time or a flexible schedule;Office environment or company culture;Family friendliness,Slightly satisfied,I am not interested in new job opportunities,Dart;Go;JavaScript,C;HTML/CSS;Java;PHP;SQL,Flutter;React Native,Keras;TensorFlow;Unity 3D,Jira,Github;Gitlab;Slack;Trello,Yes,Somewhat important,Very important,,"Read company media, such as employee blogs or company culture videos;Personal network - friends or family;Read other media like news articles, founder profiles, etc. about the company;Directly asking current or past employees at the company",Every few months,Not sure,Yes,Yes,Sometimes: 1-2 days per month but less than weekly,Start a free trial;Ask developers I know/work with,Amused,Stack Overflow (public Q&A for anyone who codes),Play games;Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos,Windows,20 to 99 employees,iOS,Android;Windows;WordPress,I have a great deal of influence,,Yes,Neutral,Less than once per month or monthly,A few times per week,Neither easy nor difficult,Too long,No,"Information systems, information technology, or system administration",Angular.js;React.js,jQuery;Spring,Somewhat more welcome now than last year,9.0,4,Less than 1 year
7770,I am a developer by profession,Yes,52.0,28,Monthly,11000000.0,9660.0,Indonesia,Indonesian rupiah,IDR,Cassandra;Elasticsearch;Firebase;MongoDB;PostgreSQL;Redis,MariaDB;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;SQLite,"Developer, full-stack",Some college/university study without earning a degree,"Independent contractor, freelancer, or self-employed",Southeast Asian,Man,Flex time or a flexible schedule;Remote work options;Office environment or company culture,Slightly satisfied,I am actively looking for a job,HTML/CSS;Java;JavaScript;PHP;Python;Ruby;SQL;TypeScript,HTML/CSS;JavaScript;PHP;Python;SQL,Node.js;React Native,Node.js,Confluence;Jira;Github;Gitlab;Slack,Confluence;Jira;Github;Gitlab;Slack;Trello,Yes,Extremely important,Very important,Better compensation;Better work/life balance;Wanting to work with new technologies;Growth or leadership opportunities,"Read company media, such as employee blogs or company culture videos;Publicly available financial information (e.g. Crunchbase);Read other media like news articles, founder profiles, etc. about the company",Once every few years,No,Yes,Yes,Never,Ask developers I know/work with;Visit developer communities like Stack Overflow,Amused,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics);Stack Overflow Jobs (for job seekers),Visit Stack Overflow,Windows,"Just me - I am a freelancer, sole proprietor, etc.",Android;Docker;Heroku;Linux;MacOS;Windows,AWS;Docker;Heroku;Linux;MacOS;Windows,,Straight / Heterosexual,Yes,"Yes, definitely",Less than once per month or monthly,Multiple times per day,Neither easy nor difficult,Appropriate in length,No,"A humanities discipline (such as literature, history, philosophy, etc.)",Angular;Angular.js;Django;Express;Flask;jQuery;Laravel;React.js;Ruby on Rails;Spring;Vue.js,Angular.js;Django;Express;jQuery,Just as welcome now as I felt last year,40.0,23,20
7842,I am a developer by profession,Yes,,14,Monthly,11000000.0,9660.0,Indonesia,Indonesian rupiah,IDR,Elasticsearch;Oracle;PostgreSQL,Elasticsearch;Oracle;PostgreSQL,"Developer, full-stack;DevOps specialist","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Employed full-time,East Asian;South Asian,Man,Industry that I’d be working in;Flex time or a flexible schedule;Remote work options,Neither satisfied nor dissatisfied,"I’m not actively looking, but I am open to new opportunities",C#;C++;Java;Kotlin,Java;Kotlin,,,Jira;Github;Gitlab,Jira;Github;Gitlab,Yes,Extremely important,Fairly important,Better compensation;Better work/life balance;Wanting to work with new technologies,"Read company media, such as employee blogs or company culture videos;Read other media like news articles, founder profiles, etc. about the company",,Yes,No,No,Sometimes: 1-2 days per month but less than weekly,Start a free trial,Annoyed,Stack Overflow (public Q&A for anyone who codes),Call a coworker or friend;Visit Stack Overflow;Watch help / tutorial videos,Windows,500 to 999 employees,Android;Linux,Android;Linux,I have some influence,Straight / Heterosexual,Yes,Neutral,Less than once per month or monthly,Daily or almost daily,Neither easy nor difficult,Too long,No,"Computer science, computer engineering, or software engineering",,,Just as welcome now as I felt last year,48.0,10,4
8121,I am a student who is learning to code,No,23.0,17,,,,Indonesia,,,MariaDB,MariaDB,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Student,East Asian;Southeast Asian,Man,"Flex time or a flexible schedule;Languages, frameworks, and other technologies I’d be working with;Office environment or company culture",,"I’m not actively looking, but I am open to new opportunities",HTML/CSS;PHP;TypeScript,C#;HTML/CSS;Java;JavaScript;PHP;SQL;VBA,,.NET,Github,Github;Gitlab,,,,,,Once a year,Yes,,No,,Read ratings or reviews on third party sites like G2Crowd,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Play games;Call a coworker or friend;Visit Stack Overflow,Windows,,Windows,Windows,,Straight / Heterosexual,Yes,Neutral,I have never participated in Q&A on Stack Overflow,A few times per week,Easy,Appropriate in length,No,,jQuery;Laravel;React.js;Vue.js,ASP.NET;jQuery,Just as welcome now as I felt last year,,5,
8135,"I used to be a developer by profession, but no longer am",Yes,,Younger than 5 years,,,,Indonesia,,,Microsoft SQL Server;Oracle,MongoDB;MySQL,"Academic researcher;Database administrator;Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, full-stack;Developer, mobile","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Independent contractor, freelancer, or self-employed",,Man,,,,JavaScript;Python;Scala;SQL;Swift;TypeScript,C#;HTML/CSS;PHP;SQL,,Apache Spark;Node.js;React Native,,Github;Gitlab;Stack Overflow for Teams,,,Very important,,,Once every few years,,,Yes,,Visit developer communities like Stack Overflow,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes),Call a coworker or friend,Linux-based,,Android;Arduino;AWS;Google Cloud Platform;Heroku;IBM Cloud or Watson;iOS;Kubernetes,Docker;Linux;Raspberry Pi;Windows,,,,Neutral,,I have never visited Stack Overflow (before today),Easy,Too long,No,,Express;React.js;Vue.js,Django;jQuery;Laravel,Not applicable - I did not use Stack Overflow last year,,3,
8295,I am a developer by profession,No,42.0,13,Monthly,25000000.0,21960.0,Indonesia,Indonesian rupiah,IDR,,Microsoft SQL Server;Redis,"Developer, back-end;Developer, desktop or enterprise applications;Developer, front-end;Developer, mobile","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Employed full-time,Southeast Asian,Man,Industry that I’d be working in;Financial performance or funding status of the company or organization;Office environment or company culture,Slightly satisfied,"I’m not actively looking, but I am open to new opportunities",,Bash/Shell/PowerShell;C#;Objective-C,,.NET;.NET Core,,Confluence;Jira;Github;Microsoft Azure,Yes,Somewhat important,Very important,Better compensation;Trouble with my teammates;Trouble with my direct manager;Trouble with leadership at my company,"Company reviews from third party sites (e.g. Glassdoor, Blind)",Once a year,Not sure,No,Yes,Rarely: 1-2 days per year or less,Start a free trial;Visit developer communities like Stack Overflow,Indifferent,Stack Overflow (public Q&A for anyone who codes);Stack Exchange (public Q&A for a variety of topics),Meditate;Play games;Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Panic;Watch help / tutorial videos;Do other work and come back later,Windows,10 to 19 employees,,Google Cloud Platform;Linux;MacOS;Microsoft Azure;Windows,I have some influence,Straight / Heterosexual,Yes,"No, not really",I have never participated in Q&A on Stack Overflow,Multiple times per day,Neither easy nor difficult,Appropriate in length,No,"Computer science, computer engineering, or software engineering",,Angular;Angular.js;ASP.NET;ASP.NET Core;React.js,Just as welcome now as I felt last year,40.0,27,20
8304,I am a student who is learning to code,Yes,20.0,18,,,,Indonesia,,,Firebase;MySQL,MySQL,,,Student,,Man,Specific department or team I’d be working on;Financial performance or funding status of the company or organization;Office environment or company culture,,"I’m not actively looking, but I am open to new opportunities",HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;SQL;TypeScript,C;HTML/CSS;Java;JavaScript;PHP;Python;SQL,Node.js;React Native,Unity 3D,Github,Github,,,,,,,,,Yes,,Read ratings or reviews on third party sites like G2Crowd,"Hello, old friend",Stack Overflow (public Q&A for anyone who codes),Visit Stack Overflow,Windows,,Android;Docker;Windows;WordPress,Windows,,Straight / Heterosexual,Yes,Neutral,Less than once per month or monthly,Less than once per month or monthly,Neither easy nor difficult,Too long,No,"Computer science, computer engineering, or software engineering",Angular;Angular.js;Django;Flask;jQuery;Laravel;React.js;Vue.js,jQuery;Laravel,Just as welcome now as I felt last year,,2,
